#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
57293	9943835	0	5155750	0	223	99645	-87
57294	9943855	0	5155749	0	223	99639	-82
57295	9943865	0	5155750	0	223	99638	-81
57296	9943871	0	5155750	0	223	99637	-80
57297	9943872	0	5155750	0	223	99645	-87
57298	9943873	0	5155750	0	223	99641	-83
57299	9943872	0	5155750	0	223	99644	-86
57300	9943870	0	5155750	0	223	99642	-84
57301	9943870	0	5155750	0	222	99641	-83
57302	9943869	0	5155750	0	223	99643	-85
57303	9943869	0	5155749	0	222	99646	-88
57304	9943870	0	5155749	0	222	99642	-84
57305	9943871	0	5155749	0	222	99645	-87
57306	9943871	0	5155749	0	222	99644	-86
57307	9943872	0	5155749	0	222	99647	-88
57308	9943871	0	5155749	0	222	99643	-85
57309	9943871	0	5155749	0	222	99638	-81
57310	9943868	0	5155749	0	222	99646	-88
57311	9943865	0	5155749	0	222	99643	-85
57312	9943863	0	5155749	0	221	99646	-88
57313	9943864	0	5155749	0	221	99635	-78
57314	9943871	0	5155749	0	221	99642	-84
57315	9943884	0	5155749	0	221	99638	-81
57316	9943904	0	5155750	0	221	99647	-88
57317	9943927	0	5155750	0	221	99639	-82
57318	9943951	0	5155750	0	221	99639	-82
57319	9943974	0	5155751	0	221	99636	-79
57320	9943995	0	5155751	0	221	99643	-85
57321	9944016	0	5155750	0	221	99645	-87
57322	9944035	0	5155750	0	221	99647	-88
57323	9944054	0	5155750	0	220	99634	-77
57324	9944074	0	5155750	0	220	99633	-77
57325	9944094	0	5155750	0	220	99637	-80
57326	9944115	0	5155750	0	220	99636	-79
57327	9944135	0	5155750	0	220	99635	-78
57328	9944159	0	5155750	0	220	99625	-70
57329	9944181	0	5155750	0	220	99630	-74
57330	9944204	0	5155750	0	220	99634	-77
57331	9944229	0	5155750	0	220	99641	-83
57332	9944251	0	5155750	0	219	99635	-78
57333	9944274	0	5155750	0	219	99632	-76
57334	9944296	0	5155750	0	219	99639	-82
57335	9944316	0	5155749	0	219	99640	-83
57336	9944335	0	5155749	0	219	99635	-78
