#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
57014	0	0	0	0	231	99544	-1
57015	0	0	0	0	231	99540	1
57016	0	0	0	0	231	99541	0
57017	0	0	0	0	231	99540	1
57018	0	0	0	0	231	99539	2
57019	0	0	0	0	231	99541	0
57020	0	0	0	0	231	99542	0
57021	0	0	0	0	231	99537	4
57022	0	0	0	0	231	99546	-3
57023	0	0	0	0	231	99540	1
57024	0	0	0	0	231	99542	0
57025	0	0	0	0	231	99544	-1
57026	0	0	0	0	231	99542	0
57027	0	0	0	0	231	99542	0
57028	0	0	0	0	231	99540	1
57029	0	0	0	0	231	99540	1
57030	0	0	0	0	231	99540	1
57031	0	0	0	0	231	99543	0
57032	0	0	0	0	231	99544	-1
57033	0	0	0	0	231	99547	-4
57034	0	0	0	0	231	99545	-2
57035	0	0	0	0	231	99545	-2
57036	0	0	0	0	231	99547	-4
57037	0	0	0	0	231	99547	-4
57038	0	0	0	0	231	99539	2
57039	0	0	0	0	231	99544	-1
57040	0	0	0	0	231	99544	-1
57041	0	0	0	0	231	99544	-1
57042	0	0	0	0	231	99544	-1
57043	0	0	0	0	231	99544	-1
57044	0	0	0	0	231	99553	-9
57045	0	0	0	0	231	99545	-2
57046	0	0	0	0	231	99540	1
57047	0	0	0	0	231	99541	0
57048	0	0	0	0	231	99546	-3
57049	0	0	0	0	231	99545	-2
57050	0	0	0	0	231	99543	0
57051	0	0	0	0	231	99549	-5
57052	0	0	0	0	231	99546	-3
57053	0	0	0	0	231	99544	-1
57054	0	0	0	0	231	99542	0
57055	0	0	0	0	231	99547	-4
57056	0	0	0	0	231	99549	-5
57057	0	0	0	0	231	99528	11
57058	0	0	0	0	231	99554	-10
57059	0	0	0	0	231	99548	-5
57060	0	0	0	0	231	99549	-5
57061	0	0	0	0	231	99549	-5
57062	0	0	0	0	231	99545	-2
57063	0	0	0	0	231	99540	1
57064	0	0	0	0	231	99543	0
57065	0	0	0	0	231	99541	0
57066	0	0	0	0	231	99552	-8
57067	0	0	0	0	231	99539	2
57068	0	0	0	0	231	99541	0
57069	0	0	0	0	231	99544	-1
57070	0	0	0	0	231	99550	-6
57071	0	0	0	0	231	99563	-17
57072	0	0	0	0	231	99560	-15
57073	0	0	0	0	231	99561	-16
57074	0	0	0	0	231	99568	-22
57075	0	0	0	0	231	99567	-21
57076	0	0	0	0	231	99573	-26
57077	0	0	0	0	231	99576	-28
57078	0	0	0	0	231	99578	-30
57079	0	0	0	0	231	99576	-28
57080	0	0	0	0	231	99581	-33
57081	0	0	0	0	231	99579	-31
57082	0	0	0	0	231	99585	-36
57083	0	0	0	0	231	99591	-41
57084	0	0	0	0	231	99591	-41
57085	0	0	0	0	231	99595	-44
57086	0	0	0	0	231	99604	-52
57087	0	0	0	0	231	99602	-50
57088	0	0	0	0	231	99597	-46
57089	0	0	0	0	231	99612	-59
57090	0	0	0	0	231	99607	-55
57091	0	0	0	0	231	99620	-66
57092	0	0	0	0	231	99618	-64
57093	0	0	0	0	231	99615	-61
57094	0	0	0	0	231	99620	-66
57095	0	0	0	0	231	99626	-71
57096	0	0	0	0	231	99623	-68
57097	0	0	0	0	231	99634	-77
57098	0	0	0	0	231	99631	-75
57099	0	0	0	0	231	99628	-72
57100	0	0	0	0	231	99630	-74
57101	0	0	0	0	231	99629	-73
57102	0	0	0	0	231	99632	-76
57103	0	0	0	0	230	99625	-70
57104	0	0	0	0	230	99634	-77
57105	0	0	0	0	230	99641	-83
57106	0	0	0	0	231	99648	-89
57107	0	0	0	0	230	99644	-86
57108	0	0	0	0	230	99643	-85
57109	0	0	0	0	230	99652	-93
57110	0	0	0	0	231	99659	-99
57111	0	0	0	0	230	99653	-94
57112	0	0	0	0	230	99659	-99
57113	0	0	0	0	230	99665	-104
57114	0	0	0	0	231	99674	-111
57115	0	0	0	0	230	99678	-115
57116	0	0	0	0	230	99678	-115
57117	0	0	0	0	230	99677	-114
57118	0	0	0	0	231	99681	-117
57119	0	0	0	0	230	99684	-120
57120	0	0	0	0	230	99683	-119
57121	0	0	0	0	230	99679	-116
57122	0	0	0	0	230	99693	-127
57123	0	0	0	0	230	99691	-126
57124	0	0	0	0	230	99684	-120
57125	0	0	0	0	230	99685	-121
57126	0	0	0	0	230	99691	-126
57127	0	0	0	0	230	99689	-124
57128	0	0	0	0	230	99695	-129
57129	0	0	0	0	230	99689	-124
57130	0	0	0	0	230	99683	-119
57131	0	0	0	0	230	99695	-129
57132	0	0	0	0	230	99687	-122
57133	0	0	0	0	230	99686	-121
57134	0	0	0	0	230	99684	-120
57135	0	0	0	0	230	99687	-122
57136	0	0	0	0	230	99687	-122
57137	0	0	0	0	230	99684	-120
57138	0	0	0	0	230	99687	-122
57139	0	0	0	0	230	99685	-121
57140	0	0	0	0	230	99680	-116
57141	0	0	0	0	230	99687	-122
57142	0	0	0	0	230	99688	-123
57143	0	0	0	0	230	99679	-116
57144	0	0	0	0	230	99684	-120
57145	0	0	0	0	230	99691	-126
57146	0	0	0	0	230	99685	-121
57147	0	0	0	0	230	99689	-124
57148	0	0	0	0	230	99687	-122
57149	0	0	0	0	230	99687	-122
57150	0	0	0	0	230	99686	-121
57151	0	0	0	0	230	99683	-119
57152	0	0	0	0	230	99686	-121
57153	0	0	0	0	230	99683	-119
57154	0	0	0	0	230	99676	-113
57155	0	0	0	0	230	99683	-119
57156	0	0	0	0	230	99677	-114
57157	0	0	0	0	230	99680	-116
57158	0	0	0	0	230	99676	-113
57159	0	0	0	0	230	99682	-118
57160	0	0	0	0	230	99674	-111
57161	0	0	0	0	230	99674	-111
57162	0	0	0	0	230	99680	-116
57163	0	0	0	0	229	99674	-111
57164	0	0	0	0	230	99682	-118
57165	0	0	0	0	229	99679	-116
57166	0	0	0	0	229	99684	-120
57167	0	0	0	0	229	99687	-122
57168	0	0	0	0	229	99688	-123
57169	0	0	0	0	229	99693	-127
57170	0	0	0	0	229	99695	-129
57171	0	0	0	0	229	99698	-132
57172	0	0	0	0	229	99696	-130
57173	0	0	0	0	229	99689	-124
57174	0	0	0	0	229	99700	-133
57175	0	0	0	0	229	99696	-130
57176	0	0	0	0	229	99690	-125
57177	0	0	0	0	229	99686	-121
57178	0	0	0	0	229	99681	-117
57179	0	0	0	0	229	99682	-118
57180	0	0	0	0	229	99684	-120
57181	0	0	0	0	229	99683	-119
57182	0	0	0	0	229	99681	-117
57183	0	0	0	0	229	99678	-115
57184	0	0	0	0	229	99678	-115
57185	0	0	0	0	229	99677	-114
57186	0	0	0	0	229	99669	-107
57187	0	0	0	0	229	99669	-107
57188	0	0	0	0	229	99675	-112
57189	0	0	0	0	229	99674	-111
57190	0	0	0	0	229	99669	-107
57191	0	0	0	0	229	99675	-112
57192	0	0	0	0	229	99673	-110
57193	0	0	0	0	229	99673	-110
57194	0	0	0	0	229	99677	-114
57195	0	0	0	0	228	99663	-102
57196	0	0	0	0	228	99668	-106
57197	0	0	0	0	228	99657	-97
57198	0	0	0	0	228	99656	-96
57199	0	0	0	0	228	99661	-100
57200	0	0	0	0	228	99662	-101
57201	0	0	0	0	228	99659	-99
57202	0	0	0	0	228	99659	-99
57203	0	0	0	0	228	99666	-105
57204	0	0	0	0	228	99655	-95
57205	0	0	0	0	228	99653	-94
57206	0	0	0	0	228	99651	-92
57207	0	0	0	0	228	99649	-90
57208	0	0	0	0	228	99650	-91
57209	0	0	0	0	228	99650	-91
57210	0	0	0	0	228	99654	-94
57211	0	0	0	0	228	99649	-90
57212	0	0	0	0	228	99649	-90
57213	0	0	0	0	228	99648	-89
57214	0	0	0	0	228	99655	-95
57215	0	0	0	0	228	99653	-94
57216	0	0	0	0	228	99647	-88
57217	0	0	0	0	228	99652	-93
57218	0	0	0	0	227	99651	-92
57219	0	0	0	0	227	99650	-91
57220	0	0	0	0	227	99656	-96
57221	0	0	0	0	227	99645	-87
57222	0	0	0	0	227	99648	-89
57223	0	0	0	0	227	99649	-90
57224	0	0	0	0	227	99639	-82
57225	0	0	0	0	227	99647	-88
57226	0	0	0	0	227	99650	-91
57227	0	0	0	0	227	99645	-87
57228	0	0	0	0	227	99651	-92
57229	0	0	0	0	227	99645	-87
57230	0	0	0	0	227	99643	-85
57231	0	0	0	0	227	99649	-90
57232	0	0	0	0	227	99649	-90
57233	0	0	0	0	227	99649	-90
57234	0	0	0	0	227	99653	-94
57235	0	0	0	0	227	99649	-90
57236	0	0	0	0	227	99647	-88
57237	0	0	0	0	227	99648	-89
57238	0	0	0	0	226	99644	-86
57239	0	0	0	0	226	99647	-88
57240	0	0	0	0	226	99648	-89
57241	0	0	0	0	226	99647	-88
57242	0	0	0	0	226	99651	-92
57243	0	0	0	0	226	99650	-91
57244	0	0	0	0	226	99657	-97
57245	0	0	0	0	226	99647	-88
