#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
50333	9558790	5322418	124	0	187	99239	1751
50334	9558786	5322419	118	0	187	99235	1754
50335	9558784	5322419	111	0	187	99234	1755
50336	9558783	5322419	109	0	187	99231	1758
50337	9558782	5322420	120	0	187	99239	1751
50338	9558782	5322420	129	0	187	99227	1761
50339	9558783	5322421	162	0	187	99234	1755
50340	9558785	5322421	179	0	187	99242	1748
50341	9558788	5322422	203	0	186	99233	1756
50342	9558794	5322423	198	0	186	99240	1750
50343	9558804	5322424	205	0	186	99231	1758
50344	9558812	5322425	246	0	186	99232	1757
50345	9558816	5322426	257	0	186	99240	1750
50346	9558818	5322427	259	0	186	99239	1751
50347	9558815	5322428	253	0	186	99243	1747
50348	9558811	5322428	264	0	186	99239	1751
50349	9558807	5322429	262	0	186	99237	1753
50350	9558802	5322429	274	0	186	99236	1753
50351	9558795	5322429	287	0	186	99237	1753
50352	9558788	5322429	294	0	186	99238	1752
50353	9558783	5322430	277	0	186	99237	1753
50354	9558785	5322431	272	0	186	99239	1751
50355	9558811	5322430	277	0	185	99231	1758
50356	9558842	5322429	350	0	186	99236	1753
50357	9558872	5322431	429	0	185	99245	1746
50358	9558899	5322433	418	0	186	99245	1746
50359	9558909	5322436	387	0	185	99241	1749
50360	9558918	5322438	287	0	185	99238	1752
50361	9558924	5322438	201	0	185	99232	1757
50362	9558924	5322439	272	0	185	99235	1754
50363	9558909	5322438	477	0	185	99240	1750
50364	9558883	5322438	1376	0	185	99244	1747
50365	9558844	5322439	1670	0	185	99237	1753
50366	9558795	5322438	1774	0	185	99237	1753
50367	9558737	5322437	1711	0	185	99240	1750
50368	9558672	5322437	1772	0	185	99238	1752
50369	9558601	5322437	2024	0	185	99237	1753
50370	9558532	5322436	2422	0	185	99241	1749
50371	9558454	5322434	2548	0	185	99232	1757
50372	9558365	5322433	2722	0	185	99240	1750
50373	9558267	5322431	2816	0	185	99240	1750
50374	9558159	5322431	2822	0	185	99238	1752
50375	9558043	5322429	2952	0	185	99241	1749
50376	9557924	5322429	3011	0	185	99243	1747
50377	9557801	5322428	3109	0	184	99239	1751
50378	9557675	5322427	3103	0	184	99243	1747
50379	9557545	5322427	3216	0	184	99233	1756
50380	9557407	5322425	3292	0	184	99236	1753
50381	9557262	5322423	3389	0	184	99240	1750
50382	9557112	5322422	3448	0	184	99243	1747
50383	9556959	5322421	3487	0	184	99239	1751
50384	9556808	5322420	3446	0	184	99235	1754
50385	9556658	5322421	3598	0	184	99233	1756
50386	9556504	5322420	3791	0	184	99233	1756
50387	9556346	5322420	3894	0	184	99236	1753
50388	9556184	5322420	3972	0	184	99239	1751
50389	9556017	5322420	3929	0	184	99234	4
50390	9556017	5322420	3929	0	184	99236	-1
50391	9555687	5322420	3722	0	184	99231	2
50392	9555527	5322420	3503	0	183	99232	1
50393	9555374	5322420	3455	0	184	99244	-8
50394	9555225	5322420	3181	0	183	99241	-5
50395	9555086	5322420	2690	0	183	99243	-7
50396	9554961	5322420	2172	0	183	99242	-6
50397	9554853	5322420	1714	0	183	99253	-16
50398	9554767	5322420	1183	0	183	99240	-5
50399	9554699	5322421	1111	0	183	99247	-11
50400	9554648	5322421	1001	0	183	99240	-5
50401	9554607	5322421	1057	0	183	99246	-10
50402	9554572	5322420	1068	0	183	99241	-5
50403	9554541	5322419	972	0	183	99244	-8
50404	9554513	5322417	1437	0	183	99241	-5
50405	9554491	5322414	2053	0	183	99237	-2
50406	9554473	5322409	2513	0	183	99234	0
50407	9554459	5322403	2942	0	183	99238	-3
50408	9554442	5322396	3079	0	183	99240	-5
50409	9554426	5322388	3437	0	183	99237	-2
50410	9554407	5322380	4026	0	183	99230	3
50411	9554380	5322371	4109	0	183	99225	7
50412	9554345	5322361	4291	0	183	99230	3
50413	9554293	5322350	4479	0	183	99226	6
50414	9554225	5322341	4687	0	183	99230	3
50415	9554144	5322330	4870	0	183	99229	4
50416	9554050	5322320	5172	0	183	99234	0
50417	9553946	5322308	5346	0	182	99228	5
50418	9553829	5322298	5415	0	182	99226	6
50419	9553699	5322287	5494	0	182	99228	5
50420	9553555	5322276	5600	0	182	99234	0
50421	9553400	5322266	5644	0	182	99235	0
50422	9553238	5322256	5270	0	182	99241	-5
50423	9553079	5322247	5133	0	182	99242	-6
50424	9552925	5322237	4796	0	182	99251	-14
